상품명,상품URL,브랜드,거래량,최근거래가,모델번호,발매일,발매일로부터현재까지일,발매가,색상,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일
조던 1 줌 에어 컴포트 파슬 스톤 파슬 로즈,https://kream.co.kr/products/59927,Jordan,62,90000,CT0978-201,2022/05/03,750,169000,Fossil Stone/White/Fossil Rose,3,200000,2022/06/01,50000,2023/11/12,452,7
(W) 조던 1 미드 워시드 틸 민트 폼,https://kream.co.kr/products/59926,Jordan,448,182000,DV2229-300,2022/05/03,750,149000,Washed Teal/Mint Foam/White,3,329000,2023/08/30,111000,2023/01/11,2341,30
(W) 나이키 에어포스 1 '07 LX 아워포스 1,https://kream.co.kr/products/59832,Nike,234,89000,DV1031-030,2022/05/07,746,139000,Phantom/Sail/Sail/Pink Nebula,4,220000,2022/05/23,66000,2023/11/12,553,25
뉴발란스 327 그레이 블랙,https://kream.co.kr/products/59782,New Balance,128,159000,MS327GRM,-,,,Grey/Black,2,199000,2022/12/10,69000,2023/09/22,306,1
(W) 발렌시아가 스피드 트레이너 그래피티 솔 블랙 화이트,https://kream.co.kr/products/59768,Balenciaga,14,959000,605942W2DB71015,-,,1140000,Black/White,2,1150000,2023/10/02,350000,2023/06/22,90,1
버버리 빈티지 체크 스웨이드 레더 스니커즈 그레이 아카이브 베이지,https://kream.co.kr/products/59767,Burberry,24,538000,8031098,-,,890000,Grey/Archive Beige,2,724000,2024/01/03,430000,2023/04/01,68,5
메종 미하라 야스히로 피터슨 OG 솔 PL 레더 로우탑 스니커즈 블랙,https://kream.co.kr/products/59653,Mihara Yasuhiro,21,450000,A08FW714-BLACK,-,,402800,Black,1,590000,2022/09/16,347000,2023/05/18,135,5
나이키 x NBA x WNBA 에어포스 1 '07 LV8 EMB 짐레드 워시드 틸,https://kream.co.kr/products/59635,Nike,13,129000,DH7436-001,-,,139000,Black/Gym Red/Washed Teal/Court Purple,4,169000,2022/05/18,80000,2022/08/08,120,1
조던 1 로우 플라이이즈 짐레드 앤 블랙,https://kream.co.kr/products/59604,Jordan,236,95000,DM1206-163,2022/05/18,735,159000,White/Gym Red-Black,2,273000,2023/11/27,95000,2024/03/19,1124,21
(W) 조던 3 레트로 다크 모카,https://kream.co.kr/products/59582,Jordan,432,369000,CK9246-102,2022/05/03,750,239000,White/Dark Mocha/Atmosphere/Sail,4,369000,2024/05/09,170000,2022/10/05,575,21
나이키 에어맥스 1 라이트 매더 루트 앤 원 블루,https://kream.co.kr/products/59565,Nike,33,104000,DV3196-800,2022/05/06,747,179000,Light Madder Root/Vivid Green/Rattan,3,250000,2022/05/06,80000,2022/11/20,140,2
오트리 메달리스트 로우 레더 스니커즈 화이트 아주르,https://kream.co.kr/products/59552,Autry,11,140000,AULM-LL40,-,,187700,White/Azure,2,210000,2022/06/02,140000,2023/01/30,45,0
