상품명,거래량,최근거래가,발매일,발매일로부터현재까지일,발매가,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일,가격변동성,수익률,콜라보,브랜드_Adidas,브랜드_Asics,브랜드_Converse,브랜드_Jordan,브랜드_Mihara Yasuhiro,브랜드_New Balance,브랜드_Nike,브랜드_Puma,브랜드_Salomon,브랜드_Vans
나이키 에어포스 1 '07 프리미엄 메탈릭 실버,3.984946693,3.437967113,2022-09-08,22.35789889,3.97770608,3,2.876271394,2022-09-25,3.740627803,2023-01-16,14.38783733,2.45756849,805.318122,23.20445538,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 하이 딥 로얄 블루,4.350518975,3.411020266,2022-08-23,22.57200041,3.959586,4,2.873785965,2023-01-31,3.719101726,2024-05-11,17.13685366,3.163244724,926.6652123,29.30665654,0,0,0,0,0,0,0,1,0,0,0
나이키 에어맥스 1 프리미엄 더티 데님,3.76226702,3.424491394,2022-08-26,22.53213237,3.977411166,3,2.87320785,2022-09-19,3.716375725,2024-05-13,12.37695427,2.768885608,929.2503468,13.22320653,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 라하르 로우 라탄,4.108566146,3.455753234,2022-05-03,23.97840626,3.971072721,2,2.875820932,2022-09-17,3.701176306,2022-10-01,13.11368597,1.898699836,1143.069776,27.07958775,0,0,0,0,0,0,0,1,0,0,0
나이키 에어맥스 97 화이트 블랙 실버,3.667089063,3.447100936,2022-07-14,23.09197495,3.9829695,3,2.873148261,2024-01-22,3.74582156,2023-11-24,11.99768874,1.787027315,566.4888734,8.206158864,0,0,0,0,0,0,0,1,0,0,0
나이키 르브론 19 로우 블랙 화이트 유니버시티 레드,2.50183296,3.425737915,2022-05-03,23.97840626,3.977411166,3,2.870138633,2023-06-18,3.728666846,2022-09-27,6.437614461,0.672240797,649.1905872,2.448759853,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 LV8 라탄,3.772844113,3.445911338,2022-08-06,22.79558151,3.959586,4,2.87577474,2023-03-08,3.735357567,2023-08-27,13.37026828,2.352563982,843.4601115,36.40853128,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 프리미엄 바로크 브라운 앤 팀 오렌지,3.849313126,3.422297631,2022-08-06,22.79558151,3.959586,2,2.870524677,2023-05-22,3.706008016,2023-12-25,10.39439035,1.656452944,920.2154948,18.94891745,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 로우 SE 85 넵튠 그린 앤 세일,4.665683604,3.422297631,2022-08-06,22.79558151,3.959586,4,2.87927087,2022-12-18,3.726452522,2024-02-19,17.0937921,3.576885277,1081.055256,51.12655937,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 레트로 QS 아르곤,4.560462052,3.44985952,2022-09-23,22.1538047,3.963730634,4,2.872533342,2023-08-29,3.711462713,2024-04-30,14.05717157,3.487895806,948.299469,21.96442174,0,0,0,0,0,0,0,1,0,0,0
